date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:38:26	88/88	---MCZ	200	added ('OK')	text/plain	date:Wed,%2010%20May%202023%2005:38:27%20GMT	https://kanga-fine-wine.business.site/robots.txt		(from )
06:38:27	183831/183831	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2005:38:27%20GMT	https://kanga-fine-wine.business.site/?m=true	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/index5cbd.html	(from )
06:38:28	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20May%202023%2005:38:29%20GMT	https://kanga-fine-wine.business.site/about	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/about.0.delayed	(from https://kanga-fine-wine.business.site/?m=true)
06:38:28	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20May%202023%2005:38:29%20GMT	https://kanga-fine-wine.business.site/website/demo/	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/website/demo/index.html	(from https://kanga-fine-wine.business.site/?m=true)
06:38:28	52082/52082	---MC-	200	added ('OK')	text/javascript	date:Mon,%2017%20Apr%202023%2022:36:01%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/kanga%20winestore/www.google-analytics.com/analytics.js	(from https://kanga-fine-wine.business.site/?m=true)
06:38:29	183750/183750	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2005:38:29%20GMT	https://kanga-fine-wine.business.site/	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/index.html	(from https://kanga-fine-wine.business.site/?m=true)
06:38:29	38641/38641	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20May%202023%2005:33:41%20GMT	https://www.gstatic.com/feedback/api.js	C:/My%20Web%20Sites/kanga%20winestore/www.gstatic.com/feedback/api.js	(from https://kanga-fine-wine.business.site/?m=true)
06:38:29	183773/183773	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20May%202023%2005:38:30%20GMT	https://kanga-fine-wine.business.site/?m	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/index6f8f.html	(from https://kanga-fine-wine.business.site/?m=true)
06:38:30	17583/17583	---M--	200	added ('OK')	text/javascript	etag:%225555849a53acdc72%22	https://apis.google.com/js/api.js	C:/My%20Web%20Sites/kanga%20winestore/apis.google.com/js/api.js	(from https://kanga-fine-wine.business.site/?m=true)
06:38:30	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20May%202023%2005:38:32%20GMT	https://kanga-fine-wine.business.site/b	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/b.4.delayed	(from https://kanga-fine-wine.business.site/?m=true)
06:38:32	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20May%202023%2005:38:33%20GMT	https://kanga-fine-wine.business.site/https:	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/https_.5.delayed	(from https://kanga-fine-wine.business.site/?m=true)
06:38:32	110585/110585	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://www.gstatic.com/bfe/apps/website/css/LTR_222161133.css	C:/My%20Web%20Sites/kanga%20winestore/www.gstatic.com/bfe/apps/website/css/LTR_222161133.6.delayed	(from https://kanga-fine-wine.business.site/?m=true)
06:38:34	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20May%202023%2005:38:34%20GMT	https://kanga-fine-wine.business.site/Edg/	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/Edg/index.html	(from https://kanga-fine-wine.business.site/?m=true)
06:38:34	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20May%202023%2005:38:34%20GMT	https://kanga-fine-wine.business.site/+/	C:/My%20Web%20Sites/kanga%20winestore/kanga-fine-wine.business.site/+/index.html	(from https://kanga-fine-wine.business.site/?m=true)
